Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRX151918B9,,20231114,ABWEB01,Alberta Online Store 01,SKUC228AB2A,"5,16","5,16",,1,"30,96"
TRX2BD6FD2E,,20231114,ABWEB01,Alberta Online Store 01,SKUD159A1D2,"7,19","7,19",,1,"152,8"
TRX83CEE85A,,20231115,ABWEB01,Alberta Online Store 01,SKUC25E735C,"7,19","7,19",,1,"111,62"
TRX4AE4A048,,20231115,AB085,AB Store 085 - St. Albert,,"1,95","1,95",,1,"21,94"
TRX4FD7EC1D,CUST93A4939E,20231115,AB080,AB Store 080 - Wetaskiwin,SKU7EEAA2C3,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRXDB2FC9DE,,20231115,ABWEB01,Alberta Online Store 01,SKU6F21FFDF,12,12,,1,"388,37"
TRX04A204E0,,20231115,AB092,AB Store 092 - Fort McMurray,,"9,95","5,16",PROMOA15EE2E3,1,"82,85"
TRX592F5BE4,,20231115,AB046,AB Store 046 - Medicine Hat,SKU6F2CF3C2,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRX4E26CD81,,20231115,ABWEB01,Alberta Online Store 01,SKUAF0E0C70,"22,95","22,95",,1,"150,7"
TRX6DAF9A28,,20231115,AB096,AB Store 096 - Camrose,SKU97CBF7A1,"11,99",6,PROMOA34667FA,1,"50,92"
TRX95F958AD,,20231115,ABWEB01,Alberta Online Store 01,SKUFA08796E,"12,99","12,99",,1,"83,94"
TRX8A8BFE86,,20231115,AB023,AB Store 023 - Red Deer,SKU9E18B331,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRXED7DAF80,CUST6C4F4F81,20231115,AB023,AB Store 023 - Red Deer,SKU8DCE039D,"44,95","34,95",PROMO6DB3660D,1,"34,95"
TRX8A136080,CUST1EF34415,20231115,AB049,AB Store 049 - Spruce Grove,SKU534FF765,"9,95","5,16",PROMOA15EE2E3,1,0
TRX4188DCA6,,20231115,AB047,AB Store 047 - Grande Prairie,,"9,95","9,95",,1,"83,8"
TRXA7352FFB,CUSTF9B394C5,20231115,AB057,AB Store 057 - Chestermere,SKUC5AB166B,"11,95","7,19",PROMO8A254670,1,"130,8"
TRX85B621A3,,20231115,AB078,AB Store 078 - Lloydminster,SKU270058DD,"41,99","9,99",PROMO3B9F7E90,1,"125,36"
TRXA13C0CA9,,20231115,ABWEB01,Alberta Online Store 01,SKUA5163BF4,"59,9","59,9",,2,"72,85"
TRX35510B44,CUSTB74DE972,20231115,AB035,AB Store 035 - Brooks,SKU7D882BFE,"11,95","7,19",PROMO8A254670,1,"75,9"
TRXBC821B6A,CUSTA265B18B,20231115,AB081,AB Store 081 - Calgary,SKU1AF6C269,"44,95","22,95",PROMO6DB3660D,1,"337,03"
TRX2A4380A8,,20231115,AB107,AB Store 107 - Grande Prairie,,"20,99","20,99",,1,"86,41"
TRXF5E57C7B,,20231115,ABWEB01,Alberta Online Store 01,SKU77ABCE40,"20,99","20,99",,1,"35,98"
TRX1ECB9165,CUST0276611E,20231115,AB096,AB Store 096 - Camrose,SKUD2E6145B,"11,95","7,19",PROMO8A254670,1,"122,8"
TRXFEB01CE6,,20231115,ABWEB01,Alberta Online Store 01,SKUC0F98A94,"10,5","10,5",,1,121
TRX7FA5BD04,,20231115,ABWEB01,Alberta Online Store 01,SKU11843064,"17,99","17,99",,1,"127,72"
TRX9E8ADBB7,CUST78A91A68,20231115,AB021,AB Store 021 - Calgary,SKU5DE5B8D2,"49,95","49,95",,1,"167,78"
TRX4D36EEDC,CUSTBECFC52C,20231115,AB048,AB Store 048 - Airdrie,SKUD1255EA6,"42,95","42,95",,1,"44,9"
TRX050D51D1,,20231115,AB003,AB Store 003 - Red Deer,,"34,95","34,95",,1,"34,95"
TRX4ABF01A2,,20231115,AB100,AB Store 100 - Wetaskiwin,,"11,95","7,19",PROMO8A254670,1,"35,95"
TRX4FFE07C9,,20231116,ABWEB01,Alberta Online Store 01,SKU68D007CB,"12,5","12,5",,1,"34,5"
TRXAD64C0E0,CUST02F71657,20231116,AB015,AB Store 015 - Brooks,SKU19D7127A,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRX56704BEE,CUST69986D37,20231116,AB093,AB Store 093 - Banff,SKUB3EF29FA,"-37,99","-37,99",,-1,"-128,44"
TRXD6CE07EC,CUST9A33941D,20231116,AB012,AB Store 012 - Fort McMurray,SKU30664069,"34,95","34,95",,1,"34,95"
TRX857D66E2,,20231116,AB011,AB Store 011 - Okotoks,,"11,95","7,19",PROMO8A254670,1,"100,83"
TRXE22F89FC,,20231116,ABWEB01,Alberta Online Store 01,SKU85E8CD13,"22,95","22,95",,1,"81,8"
TRXC549E61A,CUSTDA751220,20231116,AB101,AB Store 101 - Calgary,SKUDAB7E6AB,"27,99","27,99",,1,"139,79"
TRX0364601B,,20231116,ABWEB01,Alberta Online Store 01,SKUECF69C01,"22,95","22,95",,1,"68,85"
TRXE5FB71D3,,20231116,AB004,AB Store 004 - Lethbridge,SKU493D026D,"29,95","29,95",,1,"61,85"
TRX6B9A6939,,20231116,ABWEB01,Alberta Online Store 01,,"34,95","34,95",,1,"84,9"
TRXA714B75A,,20231116,AB056,AB Store 056 - Camrose,SKU6BDB0339,"-32,95","-32,95",,-1,"39,95"
