SKU,EAN,Saison,Couleur - Code,Couleur - Nom,Taille du produit,Style - Description FR,Catégorie - Code,Catégorie,Sous-catégorie - Code,Sous-catégorie,Sous-classe - Code,Sous-classe
SKU6255C333,EAN6255C333,22F,P40149,MARITIME BLUE PLAID,L,Style_1034,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKUF042D39A,EANF042D39A,22F,P40149,MARITIME BLUE PLAID,XL,Style_1035,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKUE36BFE61,EANE36BFE61,22F,40099,MARITIME BLUE,S,Style_1036,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKU6CC01AB2,EAN6CC01AB2,22F,40099,MARITIME BLUE,L,Style_1037,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKU3313CB6E,EAN3313CB6E,22F,P00163,PLUME,L,Style_1038,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKUFCF1F9C7,EANFCF1F9C7,22F,40133,STORMY SEA,M,Style_1039,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKU400CCAEA,EAN400CCAEA,22F,P10168,FLORAL PAINTING,M,Style_1040,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKU9DFD9DFC,EAN9DFD9DFC,22F,P10168,FLORAL PAINTING,L,Style_1041,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKUAC22F370,EANAC22F370,22F,P60152,SMALL FLORAL MOTIF,XXL,Style_1042,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKU926289DF,EAN926289DF,22F,40133,STORMY SEA,L,Style_1043,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_020,Sous-classe_020
SKUEDECC705,EANEDECC705,22F,40133,STORMY SEA,XL,Style_1044,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_020,Sous-classe_020
SKUDD2CEADA,EANDD2CEADA,22F,P60152,SMALL FLORAL MOTIF,M,Style_1045,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_020,Sous-classe_020
SKU80E3722D,EAN80E3722D,22F,40099,MARITIME BLUE,L,Style_1046,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
